Generation,Best Fitness,Position X,Position Y
0,0.4013164823591364,85,1000
0,0.4013164823591364,85,989
0,0.4013164823591364,85,1000
0,0.4013164823591364,85,1000
1,172.25217485863874,3083,867
0,0.4013164823591364,85,989
1,424.0538535645494,5086,1023
2,422.5538535645495,5086,1023
3,422.5538535645495,5086,1023
4,3001.1027808676354,11275,68348
0,0.4013164823591364,85,989
0,0.4013164823591364,85,1000
1,2800.355920663119,9368,68786
0,0.4013164823591364,85,1000
1,3002.052773155856,11285,68786
0,0.4013164823591364,85,989
1,2746.3087108013983,8827,68348
2,423.30385356454946,5086,1023
3,3008.95272776869,11345,77400
4,3008.95272776869,11345,77400
5,3008.95272776869,11345,77400
6,3008.95272776869,11345,77400
7,3008.95272776869,11345,77400
8,523.7069686411181,6246,1023
9,2993.202844141074,11195,70590
10,3002.202773155856,11285,74638
11,3003.1527654867305,11295,75095
12,3002.202773155856,11285,74638
13,3002.202773155856,11285,74638
14,3003.1527654867305,11295,75095
15,3003.1527654867305,11295,75095
16,3003.1527654867305,11295,75095
17,3003.1527654867305,11295,75095
18,3003.1527654867305,11295,75095
19,3003.1527654867305,11295,75095
20,3003.1527654867305,11295,75095
21,3003.1527654867305,11295,75095
22,3003.1527654867305,11295,75095
23,3004.102757859905,11305,75553
24,3004.102757859905,11305,75553
25,3004.102757859905,11305,75553
26,3004.102757859905,11305,75553
27,3004.102757859905,11305,75553
28,3004.102757859905,11305,75553
29,3008.4527352297637,11335,76936
30,3003.1527654867305,11295,75095
31,3021.502641310094,11465,76902
32,3020.5526483050894,11455,76439
33,3003.1527654867305,11295,75095
34,3008.95272776869,11345,77400
35,3002.202773155856,11285,74638
36,3002.202773155856,11285,74638
37,3003.1527654867305,11295,75095
38,3003.1527654867305,11295,75095
39,3008.50272776869,11345,77400
40,3008.4527352297637,11335,76936
41,3008.4527352297637,11335,76936
42,3008.4527352297637,11335,76936
43,3005.052750275032,11315,76013
44,3003.1527654867305,11295,75095
45,3005.052750275032,11315,76013
46,3005.052750275032,11315,76013
47,3005.052750275032,11315,76013
48,3005.052750275032,11315,76013
49,3008.95272776869,11345,77400
50,3003.1527654867305,11295,75095
51,3005.052750275032,11315,76013
52,3003.1527654867305,11295,75095
53,3016.4026838432683,11405,80212
54,3029.00258331181,11550,87216
55,3029.00258331181,11550,87216
56,3008.95272776869,11345,77400
57,3022.202648305089,11455,82594
58,3008.95272776869,11345,77400
59,3008.95272776869,11345,77400
60,3008.95272776869,11345,77400
61,3008.95272776869,11345,77400
62,3008.95272776869,11345,77400
63,3008.95272776869,11345,77400
64,3008.95272776869,11345,77400
65,3008.95272776869,11345,77400
66,3008.95272776869,11345,77400
67,3008.95272776869,11345,77400
68,3008.95272776869,11345,77400
69,3008.95272776869,11345,77400
70,3008.95272776869,11345,77400
71,3009.40272776869,11345,77400
72,3009.902720348209,11355,77865
73,3009.902720348209,11355,77865
74,3009.902720348209,11355,77865
75,3009.902720348209,11355,77865
76,3009.902720348209,11355,77865
77,3009.902720348209,11355,77865
78,3009.902720348209,11355,77865
79,3009.902720348209,11355,77865
80,3009.902720348209,11355,77865
81,3009.902720348209,11355,77865
82,3009.902720348209,11355,77865
83,3009.902720348209,11355,77865
84,3009.902720348209,11355,77865
85,3009.902720348209,11355,77865
86,3009.902720348209,11355,77865
87,3009.902720348209,11355,77865
88,3013.002698327042,11385,79269
89,3009.902720348209,11355,77865
90,3009.902720348209,11355,77865
91,3009.902720348209,11355,77865
92,3009.902720348209,11355,77865
93,3009.902720348209,11355,77865
94,3009.902720348209,11355,77865
95,3009.902720348209,11355,77865
96,3009.902720348209,11355,77865
97,3023.152641310094,11465,83074
98,3009.902720348209,11355,77865
99,3031.3025933610006,11535,86478
100,3031.3025933610006,11535,86478
101,3016.4026838432683,11405,80212
102,3016.4026838432683,11405,80212
103,3025.0526274303775,11485,84040
104,3016.4026838432683,11405,80212
105,3016.4026838432683,11405,80212
106,3027.8526136957703,11505,85011
107,3016.4026838432683,11405,80212
108,3021.7026553372325,11445,82115
109,3021.7026553372325,11445,82115
110,3015.9526838432685,11405,80212
111,3031.3025933610006,11535,86478
112,3015.9526838432685,11405,80212
113,3015.9526838432685,11405,80212
114,3015.9526838432685,11405,80212
115,3022.602634351954,11475,83556
116,3016.4026838432683,11405,80212
117,3015.9526838432685,11405,80212
118,3015.9526838432685,11405,80212
119,3015.9526838432685,11405,80212
120,3015.9526838432685,11405,80212
121,3015.9526838432685,11405,80212
122,3015.9526838432685,11405,80212
123,3015.9526838432685,11405,80212
124,3015.9526838432685,11405,80212
125,3015.9526838432685,11405,80212
126,3015.9526838432685,11405,80212
127,3015.9526838432685,11405,80212
128,3015.9526838432685,11405,80212
129,3015.9526838432685,11405,80212
130,3015.9526838432685,11405,80212
131,3015.9526838432685,11405,80212
132,3015.9526838432685,11405,80212
133,3015.9526838432685,11405,80212
134,3016.9026766595334,11415,80686
135,3015.9526838432685,11405,80212
136,3015.9526838432685,11405,80212
137,3015.9526838432685,11405,80212
138,3015.9526838432685,11405,80212
139,3015.9526838432685,11405,80212
140,3015.9526838432685,11405,80212
141,3015.9526838432685,11405,80212
142,3015.9526838432685,11405,80212
143,3015.9526838432685,11405,80212
144,3015.9526838432685,11405,80212
145,3015.9526838432685,11405,80212
146,3015.9526838432685,11405,80212
147,3015.9526838432685,11405,80212
148,3015.9526838432685,11405,80212
149,3021.2526553372327,11445,75977
150,3015.9526838432685,11405,80212
151,3015.9526838432685,11405,80212
152,3015.9526838432685,11405,80212
153,3015.9526838432685,11405,80212
154,3015.9526838432685,11405,80212
155,3015.9526838432685,11405,80212
156,3015.9526838432685,11405,80212
157,3020.2026553372325,11445,82115
158,3016.4026838432683,11405,80212
159,3016.4026838432683,11405,80212
160,3016.4026838432683,11405,80212
161,3016.4026838432683,11405,80212
